epoch	iter	acc	loss	lr	minGrad	maxGrad	meanGrad	stdGrad	
   1.000000	   1.000000	   0.000000	   0.279736	   0.000250	  -0.515647	   0.873494	  -0.000002	   0.002482	
   1.000000	   2.000000	   0.000000	   0.276412	   0.000250	  -0.066003	   0.176781	   0.000000	   0.000455	
   1.000000	   3.000000	   0.023810	   0.118651	   0.000250	  -0.037779	   0.024898	  -0.000001	   0.000157	
   1.000000	   4.000000	   0.011905	   0.095716	   0.000250	  -0.020929	   0.028297	  -0.000000	   0.000123	
   1.000000	   5.000000	   0.011905	   0.058860	   0.000250	  -0.018072	   0.009312	  -0.000001	   0.000069	
   1.000000	   6.000000	   0.000000	   0.033502	   0.000250	  -0.010179	   0.012976	  -0.000000	   0.000037	
   1.000000	   7.000000	   0.023810	   0.035308	   0.000250	  -0.012547	   0.017756	  -0.000000	   0.000031	
   1.000000	   8.000000	   0.035714	   0.025391	   0.000250	  -0.010106	   0.014523	  -0.000000	   0.000022	
   1.000000	   9.000000	   0.035714	   0.023994	   0.000250	  -0.007492	   0.002526	  -0.000000	   0.000016	
   1.000000	  10.000000	   0.000000	   0.021642	   0.000250	  -0.006581	   0.006418	  -0.000000	   0.000015	
   1.000000	  11.000000	   0.032143	   0.021100	   0.000250	  -0.006272	   0.010606	  -0.000000	   0.000014	
   1.000000	  12.000000	   0.023810	   0.025706	   0.000250	  -0.007992	   0.004115	  -0.000000	   0.000016	
   1.000000	  13.000000	   0.000000	   0.023377	   0.000250	  -0.003778	   0.005990	  -0.000000	   0.000014	
   1.000000	  14.000000	   0.000000	   0.023582	   0.000250	  -0.004255	   0.002954	  -0.000000	   0.000013	
   1.000000	  15.000000	   0.023810	   0.023559	   0.000250	  -0.004403	   0.002755	  -0.000000	   0.000013	
   1.000000	  16.000000	   0.000000	   0.022064	   0.000250	  -0.004397	   0.003235	  -0.000000	   0.000013	
   1.000000	  17.000000	   0.023810	   0.021596	   0.000250	  -0.005592	   0.009214	  -0.000000	   0.000013	
   1.000000	  18.000000	   0.044048	   0.020825	   0.000250	  -0.003517	   0.011755	  -0.000000	   0.000011	
   1.000000	  19.000000	   0.000000	   0.022565	   0.000250	  -0.002897	   0.002475	  -0.000000	   0.000011	
   1.000000	  20.000000	   0.000000	   0.020034	   0.000250	  -0.003638	   0.001337	  -0.000000	   0.000009	
   1.000000	  21.000000	   0.014286	   0.017394	   0.000250	  -0.002318	   0.001424	  -0.000000	   0.000007	
   1.000000	  22.000000	   0.011905	   0.022211	   0.000250	  -0.003010	   0.001156	  -0.000000	   0.000009	
   1.000000	  23.000000	   0.011905	   0.020997	   0.000250	  -0.003136	   0.002812	  -0.000000	   0.000010	
   1.000000	  24.000000	   0.000000	   0.018635	   0.000250	  -0.003460	   0.001201	  -0.000000	   0.000007	
   1.000000	  25.000000	   0.011905	   0.021283	   0.000250	  -0.003336	   0.000878	  -0.000000	   0.000007	
   1.000000	  26.000000	   0.029762	   0.020045	   0.000250	  -0.002941	   0.007742	  -0.000000	   0.000009	
   1.000000	  27.000000	   0.035714	   0.017234	   0.000250	  -0.001262	   0.001143	  -0.000000	   0.000007	
   1.000000	  28.000000	   0.011905	   0.020944	   0.000250	  -0.002701	   0.004713	  -0.000000	   0.000010	
   1.000000	  29.000000	   0.011905	   0.018222	   0.000250	  -0.003153	   0.000795	  -0.000000	   0.000008	
   1.000000	  30.000000	   0.032143	   0.016185	   0.000250	  -0.003629	   0.001731	   0.000000	   0.000008	
   1.000000	  31.000000	   0.059524	   0.017736	   0.000250	  -0.001192	   0.007916	  -0.000000	   0.000007	
   1.000000	  32.000000	   0.000000	   0.015756	   0.000250	  -0.002020	   0.007249	  -0.000000	   0.000007	
   1.000000	  33.000000	   0.000000	   0.018531	   0.000250	  -0.002044	   0.000950	  -0.000000	   0.000006	
   1.000000	  34.000000	   0.000000	   0.018289	   0.000250	  -0.005619	   0.001267	  -0.000000	   0.000008	
   1.000000	  35.000000	   0.042857	   0.018169	   0.000250	  -0.000940	   0.000961	  -0.000000	   0.000006	
   1.000000	  36.000000	   0.014286	   0.018360	   0.000250	  -0.001752	   0.005743	  -0.000000	   0.000007	
   1.000000	  37.000000	   0.054762	   0.014011	   0.000250	  -0.001001	   0.001032	  -0.000000	   0.000004	
   1.000000	  38.000000	   0.052381	   0.017058	   0.000250	  -0.003399	   0.000856	  -0.000000	   0.000006	
   1.000000	  39.000000	   0.026190	   0.017796	   0.000250	  -0.004148	   0.001928	  -0.000000	   0.000007	
   1.000000	  40.000000	   0.000000	   0.017181	   0.000250	  -0.001353	   0.004673	  -0.000000	   0.000006	
   1.000000	  41.000000	   0.047619	   0.019272	   0.000250	  -0.001124	   0.000713	  -0.000000	   0.000006	
   1.000000	  42.000000	   0.000000	   0.015371	   0.000250	  -0.001004	   0.001037	  -0.000000	   0.000006	
   1.000000	  43.000000	   0.011905	   0.018425	   0.000250	  -0.000861	   0.001503	  -0.000000	   0.000006	
   1.000000	  44.000000	   0.014286	   0.017052	   0.000250	  -0.001042	   0.000730	  -0.000000	   0.000005	
   1.000000	  45.000000	   0.000000	   0.017870	   0.000250	  -0.001269	   0.005451	  -0.000000	   0.000006	
   1.000000	  46.000000	   0.000000	   0.018222	   0.000250	  -0.000855	   0.001087	  -0.000000	   0.000006	
   1.000000	  47.000000	   0.026190	   0.018197	   0.000250	  -0.001373	   0.000810	  -0.000000	   0.000006	
   1.000000	  48.000000	   0.011905	   0.018128	   0.000250	  -0.001156	   0.002142	  -0.000000	   0.000007	
   1.000000	  49.000000	   0.047619	   0.017802	   0.000250	  -0.002178	   0.001256	  -0.000000	   0.000009	
   1.000000	  50.000000	   0.011905	   0.019657	   0.000250	  -0.001659	   0.004077	  -0.000000	   0.000009	
   1.000000	  51.000000	   0.035714	   0.018181	   0.000250	  -0.001913	   0.002822	  -0.000000	   0.000007	
   1.000000	  52.000000	   0.011905	   0.018546	   0.000250	  -0.000971	   0.001796	   0.000000	   0.000009	
